Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_;0.6406807939686388;0.012210518812883146;0.5002458684759267;0.036961609819290864;0.5613673281184525;0.027333800717264906;0.7634123906758015;0.008616682437826411;0.6893417454064354;0.012290081269199069;0.11542952060699463;0.0016199099812965723
SVDD_Linear_auto_;0.6406807939686388;0.012210518812883146;0.5002458684759267;0.036961609819290864;0.5613673281184525;0.027333800717264906;0.7634123906758015;0.008616682437826411;0.6893417454064354;0.012290081269199069;0.11607067584991455;0.001481324575194619
SVDD_Sigmoid_scale_;0.6678043721014124;0.010320898437195062;0.501425414708537;0.038585650981728156;0.5720936959129801;0.0272947555242322;0.7820547785245665;0.00901335196122904;0.7020622908089216;0.011000319433966687;0.1375741958618164;0.0006365048709848889
SVDD_Sigmoid_auto_;0.6408292771592962;0.013956342771764533;0.5006395692633283;0.03706159762339435;0.5616967671386635;0.02796400361894033;0.7633384277955462;0.008747277198341851;0.689498731277707;0.01301730835617083;0.1337574005126953;0.0011826704666044853
SVDD_Poly_2_scale_;0.5654030636684706;0.012252898332652095;0.49394043135912363;0.038294887504019555;0.5267843951095978;0.026615433354398414;0.6945667999304089;0.009625713235686806;0.6474047964614003;0.010885985630833398;0.11905937194824219;0.0014488224828788662
SVDD_Poly_2_auto_;0.5659836917380556;0.030084569334183468;0.5343266627244716;0.11556380611991517;0.5395568830974186;0.06126189418026957;0.6976459984757244;0.009402132576363872;0.6469323578487999;0.009973893439547148;0.10164799690246581;0.0012556739868462728
SVDD_Poly_3_scale_;0.5422240198908173;0.011426139916920743;0.4959027107777535;0.034588755212032314;0.5175749448117648;0.022649716893620518;0.6696242202998447;0.009987433251048785;0.632482252697886;0.009359225749480208;0.11881003379821778;0.0008583177274442977
SVDD_Poly_3_auto_;0.5284730067204799;0.027373592507499482;0.5420777442345399;0.18894221407833728;0.5094169123166468;0.1215192799862157;0.6713502971232405;0.009637203052128115;0.6192885281834069;0.007970414189205122;0.10196475982666016;0.002835570081964265
SVDD_Poly_4_scale_;0.5324831379990094;0.012933333447665885;0.49945379851234006;0.033801678416453;0.5150816938817315;0.022845442900941794;0.6628491530226335;0.010155994831727064;0.6260441041438347;0.010511671501810944;0.11802260875701905;0.0009469762669957975
SVDD_Poly_4_auto_;0.5121868909724067;0.027953947138781864;0.5908639631508512;0.23644645106204962;0.5149361142688111;0.1477777273216619;0.6634179813659372;0.009997450220129905;0.6095514548344737;0.0094415507710817;0.10084478855133057;0.0011409321757225091
SVDD_RBF_0.001_scale_;0.5761793484642452;0.007247934556974922;0.8368273629827891;0.01790036347082166;0.682382628319472;0.008691757050501426;0.7737521729948051;0.009855664519772846;0.6896522614851456;0.008159703211700954;0.07165162563323975;0.0036146542240490607
SVDD_RBF_0.01_scale_;0.5752768772590229;0.00806511651975337;0.8368258068531947;0.017111783568878044;0.6817417129229361;0.008605056768533348;0.7736027398607187;0.009760654735811515;0.6887096057581233;0.008796972319112405;0.07869482040405273;0.004600279314520421
SVDD_RBF_0.05_scale_;0.5751968364947155;0.007511946702819773;0.8360384052783916;0.017373152723876368;0.6814206874368612;0.008180243370958205;0.7737990356547075;0.009597421977702003;0.6885526198868517;0.0081621688319889;0.08139529228210449;0.004527030072342409
SVDD_RBF_0.1_scale_;0.5826237245950753;0.006915715780115344;0.8190952662537736;0.01927490491986163;0.6808105952175739;0.008578110374270238;0.7731266942208597;0.00936406550305959;0.6940488532132737;0.007262278488026386;0.09205856323242187;0.003452298460414102
SVDD_RBF_0.2_scale_;0.5979408286599048;0.00773098291450807;0.7516899567395973;0.0226090383669621;0.6658590162031541;0.009330369963306981;0.7690322450366982;0.008293736259084788;0.6995436055409101;0.0065901491521427255;0.1260307550430298;0.003599032488747334
SVDD_RBF_0.3_scale_;0.6164761048600318;0.008542249445994887;0.6657682611807911;0.017110969496153868;0.6400714635608432;0.010211758741662894;0.765752248891674;0.008683338283103886;0.7017438760700216;0.007222644338878105;0.1695540428161621;0.006175394924261556
SVDD_RBF_0.4_scale_;0.6313369543359222;0.010796960140105892;0.5877314742771778;0.019984995977380855;0.6085797050756411;0.012849866318735867;0.767142518636785;0.008818243601888718;0.6989178835540022;0.008010133672929211;0.21454713344573975;0.0081396034469545
SVDD_RBF_0.5_scale_;0.6389586286056088;0.012903435506098978;0.4900034234851079;0.04342664302911582;0.5539807900013928;0.032201221645567206;0.7662763720288996;0.008840641416362921;0.6868294777998283;0.01363166286702541;0.2529078722000122;0.006785134378134298
SVDD_RBF_0.6_scale_;0.6334744036048744;0.014057663547987103;0.39423298372288446;0.04609086835467827;0.4849428703469381;0.037805866760673365;0.7603946165879514;0.008170704383627322;0.6681402604583198;0.013730200770871613;0.2951661109924316;0.006894245446202387
SVDD_RBF_0.7_scale_;0.677008066382674;0.021997122942955274;0.29332420403971243;0.04670568163290663;0.40758655822028034;0.04703719001681599;0.7553915380516754;0.008376851520164373;0.6629560242093935;0.014373498579731931;0.3427332639694214;0.010138102470523413
SVDD_RBF_0.8_scale_;0.6951304498160413;0.022462206107648486;0.19753975911113877;0.04449055448738708;0.3055029835414452;0.05408850485124551;0.7506912790840824;0.008900886212086848;0.646150884156275;0.013115265788140788;0.38198931217193605;0.011257240189651074
SVDD_RBF_0.9_scale_;0.7358531637013345;0.03177493677145471;0.09738725841088046;0.0277289387252098;0.1709549673517989;0.04287605361841777;0.7460751201856174;0.008933318346385617;0.6268297739995854;0.009612115480184176;0.4234348773956299;0.009992075888024374
SVDD_RBF_0.001_auto_;0.38285231602762565;0.2723896363963156;0.06150446609193614;0.05472372257836588;0.10412330867096935;0.090884967727163;0.7332335446608788;0.04063004797765666;0.6079823366211506;0.012897045945959225;0.01164231300354004;0.0004316603396541488
SVDD_RBF_0.01_auto_;0.5235327822704329;0.02096580030206891;0.9128847530422334;0.017599613550240704;0.6649994708833605;0.014806947841631774;0.7623698326035234;0.017105829801100873;0.6328031357680952;0.02785542153726394;0.021656250953674315;0.001297585512751394
SVDD_RBF_0.05_auto_;0.5316312539055186;0.00958349389545648;0.9192010830661976;0.014952957776050066;0.6735472101329808;0.008274867623558928;0.7724244531585895;0.007894405004548523;0.6448843833614724;0.012169050344941161;0.039149117469787595;0.001859060372763998
SVDD_RBF_0.1_auto_;0.5563836154841819;0.004565945735682567;0.8703370576701628;0.018580694591982482;0.6787117471172208;0.005412657551510291;0.7713705715009858;0.00910202826058114;0.6717452583355549;0.004787885459650129;0.0607694149017334;0.0032007635180456126
SVDD_RBF_0.2_auto_;0.585814954835645;0.005183109897901158;0.7820609380349196;0.029773239124333287;0.66960865710801;0.011497902084907599;0.7657951257470539;0.009155369566392253;0.6927927194099701;0.005997214654101543;0.10598254203796387;0.004151198585105657
SVDD_RBF_0.3_auto_;0.6083568135515388;0.007078085114432751;0.6929678503625782;0.01985412719241703;0.6477712545765464;0.010029303182274867;0.7633209934558859;0.009261594943807364;0.6998590582822389;0.006356771025893633;0.15511996746063234;0.00587409528290907
SVDD_RBF_0.4_auto_;0.6275391269492044;0.011024635662434239;0.6007484983349414;0.025748959096686588;0.6135597617076078;0.01513563514053776;0.7646568311692026;0.008841275649875212;0.6987616381821233;0.008655399834724908;0.19905672073364258;0.006914026012158525
SVDD_RBF_0.5_auto_;0.6401764153339633;0.01317682444904411;0.5006411253929227;0.03733308418265116;0.5614316565368007;0.027941877040433747;0.7633475979900494;0.008647607574182706;0.6891850063682948;0.012786513233826968;0.24824068546295167;0.006682314698418751
SVDD_RBF_0.6_auto_;0.6271231797993513;0.01645966136948119;0.40369892004606145;0.04998598613788715;0.4901175286794194;0.04101157219066476;0.7594816316981728;0.008128369172056518;0.6673565652676163;0.015543568867381707;0.28543663024902344;0.009190624083717487
SVDD_RBF_0.7_auto_;0.6892899413809698;0.02011209268360206;0.29844853879431077;0.0452834853419175;0.41452015848386436;0.043072106078221054;0.7555690749674981;0.008490238022599562;0.6667234382867806;0.011257438511168602;0.3258409261703491;0.00914933004312445
SVDD_RBF_0.8_auto_;0.7032202384684727;0.018819131550451212;0.19675235753633563;0.04376094681403577;0.30542688696101106;0.05293947857997312;0.7515541996687354;0.008423488295403783;0.6472505257545688;0.013151883803586303;0.3671808481216431;0.00829845921984226
SVDD_RBF_0.9_auto_;0.7121456340946004;0.027835151288805163;0.100938346145467;0.027473128645416265;0.17565754589855959;0.041520189025596566;0.7481462839828434;0.008832272745519615;0.6257306260675533;0.008650359622170435;0.4005387544631958;0.013119985877448784
