Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_;0.5894940309765775;0.01465417342007485;0.5049235940369113;0.0342179956016351;0.5436648383573053;0.025519568520522604;0.6781587013281871;0.010343422701987685;0.6629478787160727;0.012415157120246791;0.2598586082458496;0.0012395511614779048
SVDD_Linear_auto_;0.5894940309765775;0.01465417342007485;0.5049235940369113;0.0342179956016351;0.5436648383573053;0.025519568520522604;0.6781587013281871;0.010343422701987685;0.6629478787160727;0.012415157120246791;0.2583378791809082;0.0011858478195096386
SVDD_Sigmoid_scale_;0.5486158268200166;0.01490044653689903;0.5128225078584545;0.028726822470301252;0.5299588209332868;0.021620549013247347;0.7232085718281387;0.012021806929914343;0.6379779923580463;0.011896138714163399;0.2849114418029785;0.0020780752201062552
SVDD_Sigmoid_auto_;0.6152186774475125;0.014254627155763405;0.506907659269864;0.024785520483567598;0.5556186663332748;0.019232803227111673;0.7645838637243276;0.009925865577132344;0.6772439599932861;0.010381916088225118;0.28427648544311523;0.0019460021760767964
SVDD_Poly_2_scale_;0.6047780077890881;0.006890974871418718;0.5021692446546948;0.022460435409069866;0.5485377835387648;0.015624975273169882;0.6952050121512188;0.008621080928124792;0.670960082146066;0.0064953972332216494;0.26242728233337403;0.0021517485033755042
SVDD_Poly_2_auto_;0.6047780077890881;0.006890974871418718;0.5021692446546948;0.022460435409069866;0.5485377835387648;0.015624975273169882;0.6952050121512188;0.008621080928124792;0.670960082146066;0.0064953972332216494;0.2606518268585205;0.002190406882076678
SVDD_Poly_3_scale_;0.6257853643332694;0.011207134063746266;0.5049235940369113;0.03373169124674036;0.5584651032318785;0.02386806414138921;0.7266751653824468;0.010691355611645357;0.682581726449651;0.010294410144704894;0.2619540929794312;0.002368342743076839
SVDD_Poly_3_auto_;0.6257853643332694;0.011207134063746266;0.5049235940369113;0.03373169124674036;0.5584651032318785;0.02386806414138921;0.7266751653824468;0.010691355611645357;0.682581726449651;0.010294410144704894;0.2609380006790161;0.0019753566382425024
SVDD_Poly_4_scale_;0.6431708063174161;0.010654688090188005;0.5017739877376989;0.033102009070397516;0.563212907899968;0.022785615513945204;0.7540064770745544;0.011902025818531928;0.6905929425471204;0.009262815253342126;0.26369285583496094;0.0011488805234659834
SVDD_Poly_4_auto_;0.6431708063174161;0.010654688090188005;0.5017739877376989;0.033102009070397516;0.563212907899968;0.022785615513945204;0.7540064770745544;0.011902025818531928;0.6905929425471204;0.009262815253342126;0.2622622013092041;0.0013102613314941872
SVDD_RBF_0.001_scale_;0.43567700929085457;0.01560001986964431;0.9735893685226106;0.011434778249587076;0.6017726812351731;0.01460908458808876;0.6858575732683102;0.032440679385571054;0.4857900634854813;0.031919523963819564;0.03388946056365967;0.0021254294454593732
SVDD_RBF_0.01_scale_;0.4378712679349257;0.009681872044244923;0.9743814384861972;0.010894392163478829;0.6041482939969972;0.009699354412774367;0.6855999058358762;0.03256317637143699;0.4909710909037054;0.019064398256425013;0.03536224365234375;0.0031447842680310195
SVDD_RBF_0.05_scale_;0.47413033601619914;0.00923137703434281;0.944804083284056;0.020225795227269396;0.6313074211150248;0.010108439643067327;0.6806178980256494;0.025028615428749203;0.5602277776132224;0.015082989620803313;0.06428961753845215;0.002083308446802433
SVDD_RBF_0.1_scale_;0.49111234720671015;0.007306846395590138;0.888456630668202;0.017320372509284424;0.6325127944486703;0.008925129043919202;0.66759363369912;0.019359010408984245;0.5886597454656755;0.010629727394440631;0.1070939064025879;0.0018785812074957739
