Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_5_[384, 128];0.6014667797075832;0.04497261039722809;0.5057716846658991;0.04052179836931422;0.5480585613608789;0.03185223941917348;0.7357179725979799;0.030277351463855663;0.6678186368887177;0.02751464076602148;0.0427299976348877;0.001593216474087004
SVDD_Linear_auto_5_[384, 128];0.6014667797075832;0.04497261039722809;0.5057716846658991;0.04052179836931422;0.5480585613608789;0.03185223941917348;0.7357179725979799;0.030277351463855663;0.6678186368887177;0.02751464076602148;0.04291679859161377;0.0017501451124542907
SVDD_Sigmoid_scale_5_[384, 128];0.6462957746987765;0.022893048251200695;0.49434035666490306;0.03854374376914797;0.5597507523506249;0.03107784647959574;0.761867019909439;0.021242697027301395;0.6909140724504607;0.01703997945486549;0.06798596382141113;0.0008426073227997029
SVDD_Sigmoid_auto_5_[384, 128];0.6017132878519835;0.04476122724677184;0.5057716846658991;0.04052179836931422;0.5481695189895364;0.031806410212348965;0.7357189030253355;0.03029874989537223;0.6679756227599893;0.0273983992592376;0.06122868061065674;0.0007907181923354686
SVDD_Poly_2_scale_5_[384, 128];0.5358335478521952;0.04020388709524302;0.4872179515110019;0.027806987557694063;0.5096595814281307;0.02820790947712184;0.6367759782021591;0.026802482210960203;0.6260418826456563;0.028305609758209567;0.046018338203430174;0.0010479587494343892
SVDD_Poly_2_auto_5_[384, 128];0.534515313059228;0.039275036226151194;0.4871961656966792;0.062019927840087516;0.5057808326491566;0.03333717410867422;0.6369363895664396;0.02649313829446367;0.6232126812989347;0.024018681896236654;0.043749880790710446;0.001385313915243579
SVDD_Poly_3_scale_5_[384, 128];0.4804183760278645;0.03851104582784824;0.48838038031807296;0.025591654310795988;0.48392501424448076;0.029228638881981527;0.537337712544753;0.03293048883657957;0.5842567360761431;0.03102237449175052;0.04594466686248779;0.0011858755986191786
SVDD_Poly_3_auto_5_[384, 128];0.42204090050228216;0.1009684991281217;0.762165821169587;0.339264660695611;0.46811993631484505;0.1581999225718251;0.4374522607475126;0.0381113012138425;0.4277173859384102;0.08404847001207742;0.03873412609100342;0.0009387239552275544
SVDD_Poly_4_scale_5_[384, 128];0.3815001632654381;0.05058853088179882;0.48246241947029345;0.03370771032616255;0.4253305756237079;0.04275375072605496;0.48261134066618433;0.03811605006544893;0.47713683441446236;0.05985024117205029;0.045302414894104005;0.0018335537584582564
SVDD_Poly_4_auto_5_[384, 128];0.4207557709751;0.11626577072582034;0.7629205440229063;0.35715889910997034;0.46193505257093304;0.17398765151621995;0.3714976946935494;0.035374150470596714;0.4285005874628515;0.0832829093367558;0.03936591148376465;0.0006032009859768757
SVDD_RBF_0.001_scale_5_[384, 128];0.46086521062029356;0.019251668788362368;0.9487706576203667;0.014053444965019287;0.6202269758585184;0.019760952903998246;0.6854836796134752;0.04061080426192411;0.5362069646436224;0.03473105902373249;0.014589047431945801;0.0009964766646509908
SVDD_RBF_0.01_scale_5_[384, 128];0.46062417913220005;0.019709898940987416;0.9487691014907721;0.014492992405984402;0.6200045078415155;0.020301133239367067;0.6851752409136455;0.04067871105843187;0.5357355133635457;0.0355437863491279;0.015393948554992676;0.0009785202408547646
SVDD_RBF_0.05_scale_5_[384, 128];0.47935099469137626;0.021312542992672778;0.9259126700071582;0.018066283932515713;0.6314637570117656;0.02085894041553725;0.6991266456273612;0.03536189734587513;0.5685593831146392;0.033834173165838206;0.019683170318603515;0.0002595763882529127
SVDD_RBF_0.1_scale_5_[384, 128];0.49980734610343386;0.018088301433455453;0.8797998817341508;0.027613933390993443;0.6372417381669385;0.01870930864523023;0.7110851277647405;0.03138225365885681;0.6005956083449344;0.026147139680220303;0.02744872570037842;0.0012088778796971239
SVDD_RBF_0.2_scale_5_[384, 128];0.5373272684015784;0.020850337127395997;0.7942749992219352;0.04094210915641662;0.6405857843063376;0.023499948942763766;0.7224139381105726;0.03047159410051025;0.6450512425579811;0.023788120887708;0.04082200527191162;0.0007316722613987948
SVDD_RBF_0.3_scale_5_[384, 128];0.5618414824944492;0.028608192227809158;0.6941894120942391;0.04999101235130123;0.6204869070941109;0.03373670571488015;0.7316435377594643;0.02919749088916106;0.6621713416861665;0.0284153895899268;0.05543630123138428;0.00138616156343727
SVDD_RBF_0.4_scale_5_[384, 128];0.5825542348510445;0.035628284800972986;0.5940789268930317;0.050006651041826326;0.5871185843631066;0.03492772446629224;0.7355478750379992;0.03033242409835779;0.6676678218457194;0.028344117358266408;0.06951272487640381;0.00160979518479933
SVDD_RBF_0.5_scale_5_[384, 128];0.6044508091546549;0.04732164847063032;0.4998568360773086;0.03820527085610439;0.5458658457875262;0.032783510595665595;0.7391831481647463;0.030913094752480746;0.6686052940769922;0.028758865022317125;0.08158068656921387;0.0020831200669495994
SVDD_RBF_0.6_scale_5_[384, 128];0.6260010849826423;0.04130423810655241;0.3859372568547509;0.032071011302067666;0.47637570836106785;0.028442609575959024;0.741631037528889;0.02969851805985751;0.6624808704323529;0.018495456850221338;0.09334876537322997;0.0019277022714087341
SVDD_RBF_0.7_scale_5_[384, 128];0.6496294312742605;0.052861525801359756;0.2921197597335906;0.03684085713695627;0.402010884751553;0.04187187139712229;0.7426341519820987;0.028839016891013813;0.6549428334468766;0.01952766916426331;0.10614805221557617;0.001882604228236595
SVDD_RBF_0.8_scale_5_[384, 128];0.6839707966679693;0.06251593778535408;0.1955432448414304;0.03025073425964465;0.3032880702173213;0.04044277989694987;0.7428598273403112;0.02895777512865213;0.6433224233089463;0.0161591459065136;0.11646263599395752;0.0024799783370896026
SVDD_RBF_0.9_scale_5_[384, 128];0.7183324111223166;0.09795589216716584;0.09461890386231367;0.025257825294360006;0.1666194717145564;0.04156783783143111;0.7435903550193874;0.02880189623190772;0.6250997205848958;0.01174388181245386;0.12596139907836915;0.00251645013181342
SVDD_RBF_0.001_auto_5_[384, 128];0.45340363250511295;0.01850545046741819;0.9479941489527249;0.03107285871075067;0.6128234413954343;0.014284884127181109;0.6748334921018906;0.030905699141128503;0.5217467393343405;0.03747523287849948;0.008909273147583007;0.0001989266613971724
SVDD_RBF_0.01_auto_5_[384, 128];0.4446496946548117;0.014922311849431229;0.979902586287386;0.011059213337048429;0.6115703715206688;0.014751259031521526;0.6853352094107567;0.03935109384787531;0.5033739620666844;0.030136403696101245;0.010610866546630859;0.0003840143715410745
SVDD_RBF_0.05_auto_5_[384, 128];0.4741023946276258;0.01758830154287751;0.9377376987955557;0.015388937553459962;0.6296106190251732;0.016875316683994303;0.7012281356681723;0.03504139790665207;0.559762497161419;0.02925837935154445;0.016864848136901856;0.00044567629121764564
SVDD_RBF_0.1_auto_5_[384, 128];0.49455168292916;0.017247231985738277;0.8900423267249696;0.018260624103312497;0.6356585623303331;0.016731824402544466;0.7096022784662624;0.029527084655435208;0.5930590523582437;0.024989328826342267;0.02442336082458496;0.0004615981343072927
SVDD_RBF_0.2_auto_5_[384, 128];0.5308502148174359;0.021373667990429227;0.8029488655815256;0.03418053191801295;0.6388955696705538;0.02314254953980827;0.718553798162922;0.029801321290815086;0.6382964070969461;0.025021716177780692;0.03850231170654297;0.0006389957853071471
SVDD_RBF_0.3_auto_5_[384, 128];0.5576448680158407;0.029406701942110102;0.7008854377392548;0.04708556307820859;0.6205966338981523;0.03278390095547776;0.7277158422850062;0.028956831130349553;0.6588738978900703;0.028924565432883024;0.052395415306091306;0.0007864538656493879
SVDD_RBF_0.4_auto_5_[384, 128];0.5815268365595797;0.03463064339676374;0.6031464940400237;0.0542967414004616;0.5909362004049805;0.03676354372289894;0.732242513574285;0.029509420500981428;0.6681390262926651;0.02843075700352131;0.06546335220336914;0.0016219499856190583
SVDD_RBF_0.5_auto_5_[384, 128];0.6017795721808603;0.04517146204040248;0.5057716846658991;0.04052179836931422;0.5481809827990898;0.03188876890282789;0.735781830793375;0.030261812982297215;0.6679756227599893;0.02760450653981855;0.07787094116210938;0.0021175180301306845
SVDD_RBF_0.6_auto_5_[384, 128];0.6219690053333459;0.0436782332962278;0.39145684852634527;0.03212296110216005;0.47940895365299185;0.0294344993619588;0.7393010849108005;0.029260525251819398;0.6616942132440784;0.019940247746533746;0.09019179344177246;0.001772223065190611
SVDD_RBF_0.7_auto_5_[384, 128];0.6416371783084955;0.04890535268403549;0.2889468114904609;0.023870461973472954;0.3977179852673291;0.027499169707174653;0.7399506979139656;0.028998274600787632;0.6516416871538165;0.016373945332576027;0.1004528284072876;0.0021307942713138617
