Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_;0.3571904148532451;0.00956249959756232;0.5763045306031225;0.028783819274365335;0.44096607584101666;0.015621567266248942;0.3417042082648065;0.01090510607918979;0.3891796949173999;0.00899923379300475;1.6368336915969848;0.10182927298130594
SVDD_Linear_auto_;0.3571904148532451;0.00956249959756232;0.5763045306031225;0.028783819274365335;0.44096607584101666;0.015621567266248942;0.3417042082648065;0.01090510607918979;0.3891796949173999;0.00899923379300475;1.6316672325134278;0.10198515316080543
SVDD_Sigmoid_scale_;0.36135522923274704;0.009687389467289139;0.5836804631708901;0.028285252545416306;0.4463130960261982;0.015631719489271025;0.3466799556740692;0.01125017705867925;0.39458044626800653;0.009286061765854092;1.7161579608917237;0.10202413286685959
SVDD_Sigmoid_auto_;0.3571904148532451;0.00956249959756232;0.5763045306031225;0.028783819274365335;0.44096607584101666;0.015621567266248942;0.34170516266734496;0.010905809218360414;0.3891796949173999;0.00899923379300475;1.7025177955627442;0.1091893359490327
SVDD_Poly_2_scale_;0.35654120264621814;0.009727621898089818;0.5733080746267067;0.02994789986269637;0.4395803623778374;0.016058524752503744;0.34100275240337796;0.01095628006438031;0.3889868308865416;0.009101557675864416;1.6589754343032836;0.10611707129464949
SVDD_Poly_2_auto_;0.355460646417774;0.01051917445587946;0.5714610317046434;0.03495514199333734;0.43817108917908454;0.018132606882843978;0.3410041233366591;0.010944686073597106;0.38773312160486706;0.008973570293749478;1.636763572692871;0.10488608544425466
SVDD_Poly_3_scale_;0.35485666730944104;0.010453492903950614;0.5659284171092261;0.03269470532359991;0.43610188004373984;0.017427300530867707;0.3412300136062591;0.010970972118104341;0.3884080526317749;0.00942974686635537;1.6693071126937866;0.10650760108141004
SVDD_Poly_3_auto_;0.4157242359244634;0.0018652872776514235;0.9730276391268718;0.01262652957563331;0.5825440290841507;0.0040434559219147004;0.3416617693417595;0.010893021802863685;0.4165701105431096;0.00239491850713238;1.385460901260376;0.08586179260535491
SVDD_Poly_4_scale_;0.35227142199710826;0.010940933606260382;0.5537052606932663;0.036353407795938195;0.4304538831297805;0.01885430696741319;0.3414123759720146;0.010930287844683207;0.38792486866257364;0.009146307013456556;1.695880937576294;0.11574696159635178
SVDD_Poly_4_auto_;0.4176856261259208;0.0015693479469306238;0.9884723449090579;0.006191417219142275;0.5872310422199556;0.0025877656686398576;0.3418593743499981;0.010864749002377688;0.4185951828671211;0.002646517031862797;1.387553095817566;0.0862296965498728
SVDD_RBF_0.001_scale_;0.4128730185440549;0.003019380240336144;0.9451384084886284;0.012521815464450477;0.5746919378417088;0.005233689461990254;0.3422548830860862;0.010618084547772555;0.4147380884121482;0.004857251861326049;0.6562190532684327;0.028329382472668852
