Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4783704431860816;0.026497942489428425;0.5138344632347464;0.04451799781441459;0.49526930378334566;0.034022631795321355;0.601628776400526;0.02795328984573969;0.5626930036525023;0.024638447684815004;0.2857957363128662;0.009439252483276215
SVDD_Linear_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4783704431860816;0.026497942489428425;0.5138344632347464;0.04451799781441459;0.49526930378334566;0.034022631795321355;0.601628776400526;0.02795328984573969;0.5626930036525023;0.024638447684815004;0.2858616590499878;0.012613809986561144
SVDD_Sigmoid_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4737415672328159;0.02102602145138669;0.5041586402869276;0.03961513584139714;0.48812942912267027;0.027697532727305397;0.5580302017616674;0.0314726614801593;0.5584481333517014;0.019406801978664717;0.4614638090133667;0.004855595925942904
SVDD_Sigmoid_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4783704431860816;0.026497942489428425;0.5138344632347464;0.04451799781441459;0.49526930378334566;0.034022631795321355;0.601610046636794;0.027978176165153773;0.5626930036525023;0.024638447684815004;0.43197758197784425;0.003809265052402234
SVDD_Poly_2_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47615044979793913;0.023268480887672537;0.5253583933759751;0.03751354379477893;0.4994018447548191;0.029017970729077976;0.6019314786454837;0.026883921187119336;0.5598954513130019;0.021916650334039174;0.2994206428527832;0.00553154668922597
SVDD_Poly_2_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47772705696791046;0.021678516713872525;0.5919737976394461;0.035252569710848405;0.5285824734559063;0.025980702472506844;0.601819038289465;0.026892670219735945;0.5585442861238425;0.022774899949324006;0.2610954761505127;0.006466726752500543
SVDD_Poly_3_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47513306535929606;0.02251698961216593;0.5260528304296463;0.0350898882803672;0.49918486594921835;0.02761891213113145;0.5995847515013771;0.027076839382499156;0.5588345129810897;0.021038532858472146;0.29667670726776124;0.003702551953744714
SVDD_Poly_3_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4537846878651761;0.007521193922185439;0.9880061940592375;0.011489847149528052;0.6218591748052419;0.0070951134427937506;0.5991220449725067;0.027031838816021284;0.49710713261822226;0.01571937701822212;0.24430615901947023;0.009721390491248011
SVDD_Poly_4_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4738562486908721;0.023155396013562608;0.525819755004736;0.035015456867057634;0.49838244088539563;0.027965135210333565;0.5988233924300445;0.02697065577501248;0.5575801521317432;0.02163264655565489;0.3054904222488403;0.0078931921617513
SVDD_Poly_4_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4522457377710475;0.006928284303886435;0.9926192782111729;0.006986142533474551;0.6213364109805253;0.006300719709120867;0.5985152823452756;0.026983610299082545;0.4936349284951021;0.014671441407289234;0.250113844871521;0.00912384957224799
SVDD_RBF_0.001_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4680892114599951;0.0077339199624051795;0.9426070390906865;0.01708594809923778;0.6255179686460111;0.009996565016003134;0.6071416684417759;0.032974609618895444;0.5277783776337296;0.013215059565531553;0.06180307865142822;0.002619500841270536
SVDD_RBF_0.01_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.46797407557383863;0.007789798025398291;0.9423766243441427;0.01722648618007867;0.6253646419368091;0.01008878623336848;0.607169968705304;0.0329876793918017;0.5275855136028713;0.013302115707987405;0.06700749397277832;0.0023044042989556483
SVDD_RBF_0.05_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4686408228449125;0.009335692976322732;0.9239343983141941;0.020669896756824572;0.621825813396489;0.012090312994948388;0.6058120776018658;0.03282255731448624;0.5298031707144533;0.015647269332957542;0.09659438133239746;0.0032613745271980557
SVDD_RBF_0.1_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.469954188421226;0.011630080912134012;0.8792099913794023;0.023008647311417357;0.6124884200971218;0.015040688085495461;0.6039714785515877;0.029342806083511884;0.5345288048759601;0.018254060571701047;0.1499488353729248;0.0050951915340001494
SVDD_RBF_0.2_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4723528353546613;0.013388955206204334;0.7920711784676622;0.03163226288449424;0.5917268254424404;0.018640785205341195;0.603844824083977;0.028112586389866398;0.5429183902182938;0.018659365600834796;0.25579495429992677;0.003499453223612512
SVDD_RBF_0.3_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47339445979076267;0.01740857243577305;0.697789508413065;0.0427484116556006;0.5639665703564785;0.025624597063572292;0.6035425410172031;0.028067230590524732;0.5491888913296821;0.02157872365250013;0.3573445320129395;0.0042110329974786465
SVDD_RBF_0.4_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47571548082835413;0.021690530877816052;0.6009754046891795;0.044022390437136946;0.5308961662777034;0.03002826008992721;0.6046717285035675;0.027823524055755697;0.5564241780008415;0.02307069988898;0.4538702964782715;0.006143051635113911
SVDD_RBF_0.5_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47952065813842515;0.024280697595219194;0.5078426155532614;0.04138009453494337;0.49303514419102923;0.03126588829553632;0.6045518506028479;0.02635267990889104;0.5638501878376516;0.02230626657013092;0.54003427028656;0.002324093653718451
SVDD_RBF_0.6_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4868647250970496;0.02535590394117562;0.41609231489660603;0.03638322253647468;0.4484633436807536;0.030908076778326257;0.6062795971787664;0.02597201050498754;0.5726275490258133;0.018868618673983855;0.6266993045806885;0.00576584013387386
SVDD_RBF_0.7_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.5011454485429198;0.024397869007788543;0.31673832760400594;0.030340823736586444;0.3878024918318244;0.028752704982968107;0.6072106069271215;0.026342482490222013;0.5825616289936445;0.013243979145691144;0.7031620979309082;0.006891673072088919
SVDD_RBF_0.8_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.5097265353129521;0.03347274747074901;0.20931609923266037;0.03096652460091272;0.29611838252232336;0.03527217353825308;0.6088727366738711;0.02601132720793409;0.5854561718351496;0.012361475854414215;0.776570987701416;0.00437943667929853
SVDD_RBF_0.9_scale_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.5335343437070181;0.049287440317100195;0.11018720532987089;0.01812622316608578;0.18232557046219577;0.02669138630845445;0.6108670179185701;0.02572340663856025;0.5875774900123983;0.009124140474858787;0.8375541925430298;0.003916685425315069
SVDD_RBF_0.001_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.452522145434994;0.005336616966616281;0.9760304807313673;0.015182315549251245;0.6183239138912159;0.006899713576703905;0.5929728951620536;0.03438802239841307;0.49585249252558794;0.010137639415903071;0.01316821575164795;0.0005764184924951415
SVDD_RBF_0.01_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.45595758758908883;0.005081515264231718;0.9764918423601282;0.013021262512331912;0.6216197290811326;0.0061633489815206555;0.5994554125284293;0.033576603238928596;0.5026034782543944;0.009610018793836115;0.024036669731140138;0.0010304924419711065
SVDD_RBF_0.05_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4617587029214719;0.007619347742842042;0.9379976798884645;0.020397673034273443;0.6188342477644704;0.010604082499743544;0.6006457082516665;0.03338644227271269;0.5165895644921681;0.013047379513622993;0.066859769821167;0.0020654768822056407
SVDD_RBF_0.1_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.465017277355423;0.010555585249015039;0.8893530294483882;0.022061889114510472;0.6106780392359521;0.013619765665908128;0.5978971577830631;0.03141014638061656;0.5255583934947483;0.017014584831303248;0.12055373191833496;0.003127341316974409
SVDD_RBF_0.2_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4700888592546133;0.01636469880907221;0.7952964527836017;0.03963069950740543;0.5908442021633127;0.02349955015280466;0.5990807369480755;0.028838779317094835;0.5395431765971785;0.02288175644270358;0.2199847459793091;0.00501969475229649
SVDD_RBF_0.3_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4700250888879135;0.018906178670451027;0.698480220517023;0.0467903365571782;0.5617731843722704;0.027999265884388672;0.6000939506269519;0.02921518271246038;0.5448483336622199;0.023141606165016156;0.31083974838256834;0.003627710815003634
SVDD_RBF_0.4_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.47435117225382906;0.0220853885383932;0.6023562967614223;0.042766646805658406;0.5305477835854031;0.029379645974438328;0.6009020952784775;0.029029655167396806;0.5546859816146219;0.023559125302410482;0.4004279613494873;0.007928757388139203
SVDD_RBF_0.5_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.4783704431860816;0.026497942489428425;0.5138344632347464;0.04451799781441459;0.49526930378334566;0.034022631795321355;0.6016264898938435;0.02795516597653779;0.5626930036525023;0.024638447684815004;0.48119268417358396;0.008192631080313989
SVDD_RBF_0.6_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.48678796331503094;0.02769305199021481;0.4186295377869541;0.03564847532722383;0.4499441911112091;0.03156825076480128;0.6031101441597015;0.02738479039038724;0.5724338472650912;0.02063667385238367;0.5563556671142578;0.004521145015936387
SVDD_RBF_0.7_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.49783754652107837;0.02389856864214162;0.31719915709709345;0.030318634976365794;0.38716102487985593;0.02867115220749773;0.6043231319836078;0.027502846478033895;0.5808260388781121;0.013067664365936893;0.6278480291366577;0.0076602022700429425
SVDD_RBF_0.8_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.5039273192565042;0.03615588777177902;0.21185172571598856;0.03131976979603752;0.2977209312067136;0.035807790452930935;0.6060242920729099;0.02711019577641699;0.5835270661210872;0.013507437582169483;0.6916949272155761;0.005537956483683319
SVDD_RBF_0.9_auto_5_[384, 128]_[3, 6, 7, 8]_concatenate;0.5232160723932511;0.04825232483491155;0.10903300305445876;0.02015058538951059;0.18003430711876162;0.029268186626810182;0.6077006482859769;0.02694001126505196;0.5859377734257195;0.00923660013591293;0.7536813497543335;0.008029652668929724
SVDD_Linear_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48126985661852856;0.02700942408961632;0.5013856812933025;0.057081289638542476;0.4906368631317971;0.040791899450455096;0.6011426488421866;0.02372214059483684;0.5664529214432782;0.024071268901792984;0.2883085966110229;0.010010874694607916
SVDD_Linear_auto_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48126985661852856;0.02700942408961632;0.5013856812933025;0.057081289638542476;0.4906368631317971;0.040791899450455096;0.6011426488421866;0.02372214059483684;0.5664529214432782;0.024071268901792984;0.29044380187988283;0.01131937681543034
SVDD_Sigmoid_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.44936202063072495;0.031914587025181414;0.4951692723576803;0.06238711737339814;0.47023858543741615;0.04307958839641202;0.5457735260931713;0.03671050673664231;0.5354913564894279;0.03079858887022107;0.472657299041748;0.011938605595402683
SVDD_Sigmoid_auto_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48109447226722174;0.02746212872982624;0.5011552665467588;0.05816891647521109;0.4904186508947034;0.041568778398839365;0.6011441349391582;0.023709022959666922;0.566356489427849;0.024465413884675956;0.4490043163299561;0.010376708826945526
SVDD_Poly_2_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.4868809976080832;0.012724748440141114;0.5117649876012388;0.04037424263986992;0.4985351084457855;0.024209244085150565;0.6112303448011482;0.020048264651821288;0.5704097988331354;0.010920075045644738;0.3091109275817871;0.01088733733691303
SVDD_Poly_2_auto_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48141771475230444;0.016572293998374746;0.5735427464586371;0.027627361859136692;0.5233658203462642;0.02043789603761678;0.6110651109384626;0.019899853331220636;0.5631760945406075;0.01645596365249608;0.2717560052871704;0.013075852247603175
SVDD_Poly_3_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.4875016989336568;0.01224933152434031;0.5126866465874139;0.035501521273401164;0.49931920419942466;0.020635260101646822;0.6102017159548729;0.01999404323914138;0.5706992810416146;0.0105451047812759;0.31370208263397215;0.014776868377324828
SVDD_Poly_3_auto_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.45871423600623257;0.00929941618438287;0.9882440587052074;0.00958184741909572;0.6264721467123227;0.007100533655877849;0.609799590822084;0.01993334363430429;0.5066535298213214;0.018686587648623583;0.2604738473892212;0.00958013859655345
SVDD_Poly_4_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48709998307810964;0.013645669778680453;0.5122295420440397;0.03670428585240864;0.4989010204290144;0.02230206613097803;0.6097136398798393;0.019942789832632347;0.5704105434819032;0.011810075419336163;0.3101856231689453;0.0076871001011236196
SVDD_Poly_4_auto_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.45575344578418314;0.008541240149448568;0.9949282148976704;0.00533494951397312;0.6250728146321254;0.007315361248963145;0.6094915654554324;0.019940518282799777;0.5003847972507568;0.01735927907833642;0.2636843681335449;0.0114205655192731
SVDD_RBF_0.001_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.46926395077341293;0.00833069710148546;0.9432966869232982;0.015380775859408917;0.6267183306363091;0.010141717931329668;0.6131651071561517;0.023023470122651837;0.529804101525413;0.014374382327248867;0.06355745792388916;0.0024749878638621273
SVDD_RBF_0.01_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.46926964953714584;0.008381743528855684;0.9435265695341686;0.0154533226049613;0.6267749935502497;0.010233655135618504;0.613178078735359;0.02299394729724254;0.529803915363221;0.01444488243350238;0.06911497116088867;0.0033611101207818507
SVDD_RBF_0.05_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.46909721941876426;0.008671667388333493;0.9253174189291302;0.014773070642227824;0.6225511863274857;0.01031713417986883;0.611144355912247;0.02239855943539581;0.5304794979578007;0.014767229051871689;0.09844188690185547;0.003795664527089679
SVDD_RBF_0.1_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.47102540172779406;0.008719898407007128;0.8852092889603135;0.01886898413301049;0.6148400615027451;0.011142145176820132;0.6084523706714844;0.021999702189952685;0.5359777052158923;0.014085035428819963;0.14894917011260986;0.0032359163907652484
SVDD_RBF_0.2_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.47356584389146716;0.011399854167912468;0.7886282606613383;0.032025153996086526;0.5917043606012297;0.017330711549465406;0.6072605456097369;0.024295130963004525;0.5449476511916242;0.01571054753963044;0.2647239685058594;0.005120217910588995
SVDD_RBF_0.3_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.47472572635605453;0.012442252947108377;0.6878838028543758;0.032765867349071665;0.561669405168364;0.019145808244954605;0.6059104794598895;0.02429555849253928;0.5512154529512292;0.014690138891463773;0.36671156883239747;0.00588193914669585
SVDD_RBF_0.4_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.47744379291748873;0.018809110573863322;0.5903726013984525;0.04713953631436182;0.5276576450033653;0.02971769685994569;0.6058600006992774;0.024068335413798127;0.5589311311587107;0.019155388708544736;0.46399855613708496;0.007526816516503932
SVDD_RBF_0.5_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48455748408994426;0.025690007651954283;0.49954076691393245;0.052447613857840476;0.4915205055083779;0.03798857164494144;0.6061297767185189;0.023965375534815418;0.5692499152962027;0.02265568495473759;0.5531880617141723;0.011194877239656996
SVDD_RBF_0.6_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.48841248478466304;0.032168029016739826;0.4073312331712093;0.061451838067118666;0.4432963956382415;0.04813630890363709;0.6058286673506597;0.023688350931318696;0.5750372324383897;0.023724701426688394;0.6372783660888672;0.006313636581346885
SVDD_RBF_0.7_scale_5_[384, 128]_[2, 3, 8, 9]_concatenate;0.4968495547619701;0.034014539235594;0.3026691925373293;0.04756161459647996;0.3753183501824126;0.04402981852815349;0.6065356091514135;0.02360024202320814;0.5810178790169147;0.018866999076968618;0.7121216058731079;0.008450080257863065
