Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_[3, 6, 7, 8];0.4798576325196273;0.035512527015036696;0.4338358467874969;0.05896936258603268;0.4548947537526242;0.04554703658287631;0.6000910525613614;0.03380704656912902;0.567322298879676;0.02680675581422555;0.10869293212890625;0.0093544623791597
SVDD_Linear_auto_[3, 6, 7, 8];0.4798576325196273;0.035512527015036696;0.4338358467874969;0.05896936258603268;0.4548947537526242;0.04554703658287631;0.6000910525613614;0.03380704656912902;0.567322298879676;0.02680675581422555;0.10550537109375;0.005295317628213208
SVDD_Sigmoid_scale_[3, 6, 7, 8];0.45024626900103754;0.06748515394627908;0.4488271729760219;0.05262695059422801;0.4476390483750481;0.05470332619686366;0.5168704243281629;0.0704412357539535;0.5338443795772628;0.06834180030003585;0.3157468557357788;0.004507965160671847
SVDD_Sigmoid_auto_[3, 6, 7, 8];0.4798576325196273;0.035512527015036696;0.4338358467874969;0.05896936258603268;0.4548947537526242;0.04554703658287631;0.6000891455212453;0.033811815606517165;0.567322298879676;0.02680675581422555;0.25607221126556395;0.004942751800500839
SVDD_Poly_2_scale_[3, 6, 7, 8];0.4980294903507857;0.029224977444547204;0.4686396483647471;0.049426265196258395;0.4823283799509205;0.03783695169710338;0.6161948017563408;0.026933187179463858;0.580632895603966;0.02275233773904322;0.1276533603668213;0.005840713288024769
SVDD_Poly_2_auto_[3, 6, 7, 8];0.48978584875194997;0.030685177670126938;0.32480018305467157;0.07504398592967458;0.3867083851542999;0.05619716199374633;0.6167186385840934;0.026830477107553673;0.5765812616584073;0.016516283346560738;0.111572265625;0.007864643558111404
SVDD_Poly_3_scale_[3, 6, 7, 8];0.4859779559339022;0.03450899992084808;0.4393748470109939;0.06618370262441604;0.4603662946607184;0.0488859337103741;0.6070391595200317;0.03054213783901034;0.572241076315329;0.026520852341558987;0.13267180919647217;0.004684889926062652
SVDD_Poly_3_auto_[3, 6, 7, 8];0.4541041407576725;0.004636732402204752;0.9935457264184077;0.00434717812216089;0.6233067377804146;0.004800788629983739;0.6109832229359194;0.02878675140863655;0.49749137138240307;0.00914661009932921;0.10356948375701905;0.008127272983141556
SVDD_Poly_4_scale_[3, 6, 7, 8];0.4946777404704733;0.02966254439980963;0.4739418482136205;0.04468954592332128;0.4836722755045638;0.03555694011923941;0.6145627398813341;0.02288818771870706;0.5777387250868447;0.02291575437110731;0.12784602642059326;0.008785961123645596
SVDD_Poly_4_auto_[3, 6, 7, 8];0.44999146638265736;0.004660524745140539;0.99654165025915;0.003457643375079987;0.6199946299920779;0.00426075047135897;0.6151331390217419;0.02636391101224097;0.4888114661017265;0.0098080697776015;0.10949201583862304;0.0056036309336610435
SVDD_RBF_0.001_scale_[3, 6, 7, 8];0.46153190897902185;0.011099785159834579;0.9280823958876555;0.026815938328476594;0.616426152322874;0.014578732112608687;0.5772239242621444;0.03651038299926148;0.5167863379290574;0.018762385383445587;0.017783141136169432;0.0013635085059923644
SVDD_RBF_0.01_scale_[3, 6, 7, 8];0.46245780495538646;0.010497902453835879;0.9290040548738305;0.02586969342272119;0.6174605193606486;0.013898194045680339;0.5775230365768883;0.036098122879221865;0.5184254960291604;0.01771993807703265;0.0196636438369751;0.0014391848760232666
SVDD_RBF_0.05_scale_[3, 6, 7, 8];0.463430068858038;0.012553108552678088;0.8824432477304412;0.03845052622705035;0.6075596429793428;0.017930537744326486;0.5769857419232352;0.03576446727178071;0.5233443665459095;0.019819147040666233;0.03640933036804199;0.0005386167812151564
SVDD_RBF_0.1_scale_[3, 6, 7, 8];0.46894781718169015;0.016558127571519168;0.828731069273422;0.04417437905558335;0.5987550041443587;0.02265043456838221;0.5832873031563517;0.03460238161172658;0.5356897123049486;0.024141388216752727;0.06047735214233398;0.0005708818863673957
SVDD_RBF_0.2_scale_[3, 6, 7, 8];0.4733823734689081;0.024330842748431766;0.7376768020774577;0.05753501027522047;0.5763885028883748;0.03350526273964353;0.5892205153110082;0.03563505009852839;0.5472634157783627;0.031016731958589984;0.1056926965713501;0.0005195125416342825
SVDD_RBF_0.3_scale_[3, 6, 7, 8];0.4764551452479823;0.027146206615039713;0.6433940677515139;0.05883155115496121;0.5470801979781754;0.03699442385633231;0.5929436806488446;0.035733008688792305;0.5555582445649947;0.02981459540042567;0.14887282848358155;0.0007812440355109777
SVDD_RBF_0.4_scale_[3, 6, 7, 8];0.4728936007074475;0.032058021364367036;0.532514553910665;0.05039137798731715;0.5005257527998743;0.03794757607952085;0.5952456139709918;0.034271587434221984;0.5563282113908923;0.02932634894872574;0.18981571197509767;0.00145783072671986
SVDD_RBF_0.5_scale_[3, 6, 7, 8];0.47253283031838017;0.03640669989476851;0.4349980310980087;0.04715600908696042;0.45246368399953896;0.03946240132127419;0.5969590714244857;0.03334695629590953;0.5606678382473946;0.027186150160301105;0.2257317543029785;0.0011550877041484465
SVDD_RBF_0.6_scale_[3, 6, 7, 8];0.4718292488806112;0.03941794472006431;0.3402496780579176;0.036023287016948874;0.3948541764923885;0.03508592925545334;0.5985894848261292;0.032344502348462936;0.5644286868491305;0.023246312985286236;0.2588684320449829;0.0009350080080580571
SVDD_RBF_0.7_scale_[3, 6, 7, 8];0.47777545585128767;0.0439280728904528;0.2505810921552559;0.03335279966828029;0.3280298212773619;0.03632926827172929;0.599899295750647;0.03173529197884751;0.5718561859834763;0.018676129065143293;0.28888280391693116;0.001025804552311377
SVDD_RBF_0.8_scale_[3, 6, 7, 8];0.47883302298292413;0.056839415374392584;0.16343695788678278;0.03140354888950764;0.24271753726874312;0.03931036005785024;0.6007015913221679;0.031454850075127966;0.5756157314498684;0.015947786009021584;0.3171306371688843;0.0026275757532258355
SVDD_RBF_0.9_scale_[3, 6, 7, 8];0.47048030167259275;0.08124218196566736;0.07560743287108482;0.016696706477182396;0.12996744376189512;0.02703914982738681;0.601208783687343;0.03168792172290833;0.5775450233261227;0.011005515205107183;0.3400381565093994;0.0024979798015503894
SVDD_RBF_0.001_auto_[3, 6, 7, 8];0.44398204268879704;0.005373707635932662;0.9926245995679059;0.00650027368943484;0.6135144493118595;0.0052691115464643425;0.5821525039772067;0.04431291884285033;0.47665805356258584;0.011313353454258726;0.008715486526489258;7.357237319394864e-05
SVDD_RBF_0.01_auto_[3, 6, 7, 8];0.45441649003608314;0.0056173333668905236;0.974877874862975;0.01731420741501187;0.6198487061208878;0.007494372482321225;0.5886464132828971;0.039163338492485045;0.4997107970348086;0.010679081134148775;0.012631988525390625;0.0001191213378705213
SVDD_RBF_0.05_auto_[3, 6, 7, 8];0.4622121571190295;0.010955467130226474;0.922089483934824;0.03754057542051995;0.6156728097549128;0.01740371100577557;0.5927261015795287;0.035097634746369843;0.5187122788858567;0.017682935739166985;0.028917694091796876;0.0007511395190426143
SVDD_RBF_0.1_auto_[3, 6, 7, 8];0.46767734445306475;0.012452312061901158;0.8593884696842305;0.046981055444729025;0.6055497760076567;0.02139586792376383;0.5946352834755565;0.03408620046073642;0.5323110546832823;0.01804405323834251;0.04754953384399414;0.0007642494726609097
SVDD_RBF_0.2_auto_[3, 6, 7, 8];0.4714205007465175;0.018950771637683002;0.7395142665574015;0.056186123729950764;0.5755108809939053;0.029917105644869667;0.5978878273179322;0.03461183430261775;0.5447516224035029;0.02393466161960406;0.08438160419464111;0.003158461551641997
SVDD_RBF_0.3_auto_[3, 6, 7, 8];0.47535059451222417;0.026753883895953585;0.6371563733889593;0.056625042075571716;0.5441221311989898;0.03631124781645377;0.5989549631958907;0.034322206933110555;0.5544915352051322;0.02935875454213293;0.11791114807128907;0.0031416232912684647
SVDD_RBF_0.4_auto_[3, 6, 7, 8];0.4802144643305807;0.02844452276823002;0.532268175093922;0.059319402682641624;0.5043098535012797;0.04013239247517754;0.5997083631766139;0.033898762647630316;0.5641380876674994;0.025870582009651973;0.14861102104187013;0.0007067717435757813
SVDD_RBF_0.5_auto_[3, 6, 7, 8];0.4796115507443054;0.03549705155104524;0.43360489990527984;0.05888157125329506;0.45465785805575576;0.045474566963338806;0.6000788266780809;0.03378551390559728;0.5671293417677217;0.02679914151959328;0.17724502086639404;0.0010935283700557914
