Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_5_[384, 128];0.46732580601834484;0.011220060542824479;0.48917050691244235;0.027443569760357302;0.477523931731748;0.013661709229188211;0.5643499553279604;0.013840620812427085;0.5526627709125298;0.010800597514117199;0.11134848594665528;0.005801674076923206
SVDD_Linear_auto_5_[384, 128];0.46732580601834484;0.011220060542824479;0.48917050691244235;0.027443569760357302;0.477523931731748;0.013661709229188211;0.5643499553279604;0.013840620812427085;0.5526627709125298;0.010800597514117199;0.11204414367675782;0.004221387684776275
SVDD_Sigmoid_scale_5_[384, 128];0.4995287699942783;0.021181741818354936;0.4928688498419557;0.03170488540808029;0.4957080033110614;0.022092334720545958;0.5925364000656353;0.013679244353271492;0.5809209815960057;0.016968023816309907;0.1880413770675659;0.0035851383331663086
SVDD_Sigmoid_auto_5_[384, 128];0.46705862506419066;0.011641623738877798;0.48940092165898613;0.027037207562532077;0.4774981272094445;0.013504771212731066;0.5644058136890112;0.01381577904263255;0.5523733817851465;0.011246109226250321;0.16424145698547363;0.003491842245486375
SVDD_Poly_2_scale_5_[384, 128];0.43979687075850704;0.018892375501154118;0.49147305797086027;0.03165711438647192;0.46363665569298196;0.01950160068238831;0.524549820721462;0.022053073579757387;0.5246937631942454;0.020112099907919644;0.11920244693756103;0.004481226426981171
SVDD_Poly_2_auto_5_[384, 128];0.4384335569100021;0.019516914187498728;0.48985962260938043;0.02862126791560543;0.4622645094016787;0.01911736199118303;0.5256032657986978;0.022189884428563334;0.5234397746692829;0.020433964354328035;0.11347498893737792;0.0051889413565621495
SVDD_Poly_3_scale_5_[384, 128];0.42251546840690074;0.021186777216630374;0.49308755760368667;0.029168198233999087;0.4546429293394298;0.020496988347935743;0.49943530521281343;0.024931469989860927;0.5052105866715317;0.023570121030735948;0.12235498428344727;0.005229138365092938
SVDD_Poly_3_auto_5_[384, 128];0.4150687154200142;0.0024571082011237096;0.9608114004746652;0.020941170005032976;0.5796691148300684;0.0059604068365067524;0.4706778153590875;0.029972823890892803;0.4171494472844521;0.00349020460085088;0.10026798248291016;0.004701215641995381
SVDD_Poly_4_scale_5_[384, 128];0.405767353132995;0.01973744038437015;0.49101648556315924;0.025725650205419743;0.44410518293713486;0.0200365372495525;0.48314717321323275;0.026250400006362043;0.48572871328416173;0.02234830346295867;0.12061824798583984;0.004767683312334505
SVDD_Poly_4_auto_5_[384, 128];0.4157208216166315;0.002177210041610217;0.9730308319409116;0.016356912400257818;0.5825307603830348;0.004868232059829618;0.4489612958751473;0.02927585868919646;0.4165710413540694;0.0033696161858756805;0.10108873844146729;0.0037672400518871914
SVDD_RBF_0.001_scale_5_[384, 128];0.42407892768838007;0.0037722043155818596;0.9698044933536254;0.013607391373621977;0.5900805327492876;0.004620013688636713;0.5247417284363225;0.028741760947966787;0.43624698882654533;0.008515631274887636;0.02064330577850342;0.0012384395452564817
SVDD_RBF_0.01_scale_5_[384, 128];0.42374056153049944;0.0038974550463112285;0.9679595789742551;0.014365903959272874;0.5894098904624763;0.004924142109320174;0.525190678860922;0.028573701823334637;0.4357645495061117;0.00864423434911049;0.0219557523727417;0.0011504685722565865
SVDD_RBF_0.05_scale_5_[384, 128];0.4256202070293324;0.004968083100700281;0.9349953704196423;0.012432030939666952;0.5849179251274853;0.00509952034571131;0.5324742245569828;0.023094800300809983;0.4447337508330758;0.010782108543746194;0.03839268684387207;0.0013678706431943756
SVDD_RBF_0.1_scale_5_[384, 128];0.42879966150048504;0.006307987479712401;0.8870467534402572;0.02080315321777018;0.5780836066364555;0.00902958316128932;0.5414143156639051;0.018579598304500178;0.4583328989548855;0.011075355986543012;0.059408950805664065;0.001277690716777856
SVDD_RBF_0.2_scale_5_[384, 128];0.43624969586312956;0.007712100267608003;0.7835453007098689;0.03267820769979989;0.5601849873469568;0.010214369988900436;0.54921412827096;0.015252877821834647;0.4855305436308329;0.013606830570375884;0.10436172485351562;0.002300194771721525
SVDD_RBF_0.3_scale_5_[384, 128];0.4495097719970982;0.008979900471382925;0.6855695448111451;0.03369407591905455;0.5425849980815173;0.010884492169397665;0.5568520763254463;0.014351851334547451;0.5167820561986425;0.013442828206377391;0.1492229223251343;0.0034270281087245428
SVDD_RBF_0.4_scale_5_[384, 128];0.4578301931634069;0.015606486525027868;0.5866870297250987;0.0313527803637889;0.5138641927981886;0.016480469705460226;0.5618977541280094;0.013608569911344053;0.535881738605943;0.01814554049413422;0.18976480960845948;0.003565850379204099
SVDD_RBF_0.5_scale_5_[384, 128];0.46944963358498937;0.01073089600338177;0.4880189653153968;0.025083757526130266;0.4781738746167292;0.013088608157665885;0.5654488384378381;0.013682125817651629;0.5547846475763544;0.010057717592572896;0.22961177825927734;0.002648115615727914
SVDD_RBF_0.6_scale_5_[384, 128];0.48397190084280356;0.0111179431495826;0.383367567394983;0.023286571381972498;0.42745035175472806;0.016040690696317556;0.5697078970504734;0.013156050904352887;0.5708929828023367;0.007572317346952185;0.2706005573272705;0.004537164115928818
SVDD_RBF_0.7_scale_5_[384, 128];0.49968218479668;0.011759763143389574;0.28470269579932106;0.023472497607023093;0.36224742895177664;0.02049796733033334;0.5737947555002487;0.012854204684110129;0.5815016214726919;0.005531719017387695;0.30453441143035886;0.0036325925012050545
SVDD_RBF_0.8_scale_5_[384, 128];0.5221454135112654;0.040344896550422366;0.188810783197284;0.02393216828167535;0.2769775991174442;0.03049506255016225;0.5764856888243901;0.012291865819461636;0.5885449749239527;0.012701253587212363;0.33956542015075686;0.0039002902382880853
SVDD_RBF_0.9_scale_5_[384, 128];0.5093115052448635;0.058864837098580106;0.09060195187364971;0.01870443303634811;0.15344675493710788;0.02917826882366206;0.5792685907245346;0.012032720670225648;0.5833351329011889;0.008963445269285584;0.3708410024642944;0.007090894064913867
SVDD_RBF_0.001_auto_5_[384, 128];0.42584476766311025;0.008758396015775528;0.9248448824512299;0.03359721794107006;0.5828170950739402;0.006147006407361772;0.5141296176249549;0.04099228889548084;0.4459902525476296;0.02194751060716241;0.011079216003417968;0.00036338952679611984
SVDD_RBF_0.01_auto_5_[384, 128];0.4225474188076136;0.003113960670531186;0.9794851055225042;0.010926161493130419;0.590381980362177;0.004068275753559956;0.5239919739820778;0.0310446036212274;0.4313278390665083;0.006870694629134949;0.016242194175720214;0.0008493594607705849
SVDD_RBF_0.05_auto_5_[384, 128];0.425453587050173;0.0037813664509097535;0.9393753791466672;0.011512254456301501;0.585621412748213;0.003733964585378183;0.5317702284757605;0.023829915966109883;0.44376924451659266;0.008604369097646811;0.034662508964538576;0.001037226531516691
SVDD_RBF_0.1_auto_5_[384, 128];0.4282138002735179;0.006153034250660226;0.8909654005385212;0.019678058749679764;0.578385318822477;0.00872790648989133;0.5399273273871452;0.017985237200706952;0.4565966572716814;0.01091301346516815;0.057658600807189944;0.0012093017477789521
SVDD_RBF_0.2_auto_5_[384, 128];0.4358844860400314;0.007581628983593843;0.7870041825863922;0.03217677287799971;0.5607709800207501;0.009882078951034894;0.5483664264360908;0.015028410769254884;0.4844696983800166;0.013499914382010817;0.10133132934570313;0.0030659556540652833
SVDD_RBF_0.3_auto_5_[384, 128];0.44954095771131974;0.00900590509377153;0.6883377145837103;0.03228686281394856;0.5435101756988273;0.010816273604175608;0.5559465737901949;0.014431288728619004;0.5165893783299762;0.013454104031311196;0.14347240924835206;0.004839957586214202
SVDD_RBF_0.4_auto_5_[384, 128];0.4579225480540252;0.015594110955114779;0.5892215919370802;0.03161594080623836;0.5148826028986399;0.01653564532613361;0.5604341348143755;0.013661243682068022;0.5357848411850341;0.018203745682598475;0.1824321985244751;0.0051041207986824615
SVDD_RBF_0.5_auto_5_[384, 128];0.4670857987034556;0.0111926020903002;0.4887096774193548;0.02802550306577737;0.4771641442983922;0.0139989140561919;0.5643610534013062;0.013834744336956178;0.5524699068816716;0.010817997632318985;0.21868324279785156;0.005096994216109284
SVDD_RBF_0.6_auto_5_[384, 128];0.4817061474734475;0.012331331660911993;0.3847495237385724;0.023454715290632033;0.4274024925946455;0.01628309764660726;0.5686441913737789;0.013168122708086524;0.5692531731345618;0.008425487294703868;0.26197926998138427;0.004740821949559842
