Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_;0.3069164089541908;0.005570770058062732;0.6121880199667221;0.016168488166917856;0.40884937272343896;0.008542197109233915;0.2708968790677669;0.007927943218845459;0.3273033410996085;0.006203897399227174;122.80222940444946;3.2324757929651176
SVDD_Linear_auto_;0.3069164089541908;0.005570770058062732;0.6121880199667221;0.016168488166917856;0.40884937272343896;0.008542197109233915;0.2708968790677669;0.007927943218845459;0.3273033410996085;0.006203897399227174;122.61725492477417;3.113389840688169
SVDD_Sigmoid_scale_;0.30667674573579307;0.00413301209649595;0.6173477537437604;0.013116861325915352;0.4097799988097658;0.006556292342404739;0.2681930198535321;0.007441630297466493;0.32420347640893843;0.004360271280303881;123.00208189487458;3.1745588366660753
SVDD_Sigmoid_auto_;0.3068593636138111;0.005514880375377617;0.6120213533000556;0.016009004918531296;0.4087616994398629;0.008457064417032357;0.2708912716334454;0.007929366574640778;0.327240049960368;0.006136308679536713;123.18667697906494;3.203663593595216
SVDD_Poly_2_scale_;0.3051847763782597;0.005052675607696242;0.6060288408208542;0.014752351111942117;0.4059383060256646;0.007774988490400633;0.2726351904988285;0.008116705996077674;0.3259747475960576;0.0054891573949821205;123.49483988285064;3.1157867957867027
SVDD_Poly_2_auto_;0.30312477827996404;0.01938065412344547;0.5952384914032167;0.08988418685065276;0.40100100491893287;0.03735479560764867;0.27279924162676716;0.008097656957312306;0.3301501613303549;0.0065652617002150805;116.17348418235778;3.043684615747332
SVDD_Poly_3_scale_;0.3011238903858586;0.004926400826483779;0.5920490848585691;0.014295122919413629;0.39920068679634224;0.007571147240063469;0.27293350495772356;0.008138473202629299;0.32281199208960837;0.005278356000585026;124.9195499420166;3.137772530129604
SVDD_Poly_3_auto_;0.2937627008944629;0.07368402510105662;0.6101494731003883;0.2764895017779289;0.38993022916070247;0.1317687447897575;0.2733752521308024;0.00796894205490251;0.3507121354054076;0.04311437837720648;91.80872423648835;2.385115116409085
SVDD_Poly_4_scale_;0.29405140371520877;0.0069903776766468305;0.5714107043815863;0.01965021182436454;0.3882777470283186;0.010625062343660464;0.2732037439018869;0.008162952001803206;0.3159168608235454;0.007317076879070295;127.23538172245026;3.087510979603203
SVDD_Poly_4_auto_;0.2897635727800435;0.07482015195559344;0.598169439822518;0.2815530540824966;0.3835673534171259;0.13375305024115955;0.2737346198795658;0.007948536751800368;0.34856159777099893;0.04467330371283825;91.81759872436524;2.540659053476946
