Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_;0.4818657829557809;0.012553078226461128;0.5705740432612312;0.029046051994045717;0.5223466503091181;0.01868052314683019;0.6478098312619556;0.013986620587325027;0.6038092778965405;0.01099455287501201;6.952310848236084;0.2950906775469424
SVDD_Linear_auto_;0.4818657829557809;0.012553078226461128;0.5705740432612312;0.029046051994045717;0.5223466503091181;0.01868052314683019;0.6478098312619556;0.013986620587325027;0.6038092778965405;0.01099455287501201;6.958575344085693;0.27413498595903213
SVDD_Sigmoid_scale_;0.48149623769065836;0.010631090895738474;0.590712423738214;0.02819165486889263;0.5304097298322497;0.01697446355279178;0.6494447724597326;0.014319783213330465;0.6028601510020095;0.00961654802474567;6.79845883846283;0.28359812209449314
SVDD_Sigmoid_auto_;0.477433098911765;0.022373280080160526;0.6362975596228508;0.1353048790720898;0.5359959658648286;0.04481053661421673;0.6435608024324538;0.013845364268511118;0.5915378826091482;0.02466267237781438;5.945218873023987;0.24237748539710738
SVDD_Poly_2_scale_;0.3071396934749397;0.014369305722587286;0.15912340543538547;0.01287950433840478;0.209536714708429;0.014293791369420859;0.5227095638504986;0.008173996379177158;0.5442179280858934;0.004878495543458964;10.516337990760803;0.37856123532992686
SVDD_Poly_2_auto_;0.2819458619179732;0.11033676353730441;0.25308790904048806;0.2213710202263756;0.24232112582294812;0.17488348904310408;0.5136678601140956;0.011319239930655695;0.5423261595369058;0.034643254974186605;5.380618286132813;0.22954407563593235
SVDD_Poly_3_scale_;0.09997879827666037;0.033067567694492074;0.010320854132002219;0.004331634650957526;0.018604705788055988;0.007495020267030975;0.45236165616829094;0.009334641747496404;0.5893212115389235;0.007877379934941104;11.04175021648407;0.38642289456294854
SVDD_Poly_3_auto_;0.12299557036804946;0.04216728268445326;0.01880338325013866;0.011812101485993917;0.032107587093276616;0.01907423458654589;0.457491373080014;0.012776820914832744;0.5823658716242723;0.014678510711852293;5.420054769515991;0.24722527198645386
SVDD_Poly_4_scale_;0.14388402887846716;0.055767140395677775;0.006823904603438713;0.0028280180677189783;0.013027082574442832;0.005380300334364035;0.43388969418882367;0.012972547381487065;0.6072239969895675;0.0019644886059933804;11.144157910346985;0.35557249075742053
SVDD_Poly_4_auto_;0.13610152592911212;0.06975804404270988;0.008819467554076539;0.005315708232312838;0.016536743346797823;0.009877449443249342;0.43637265823966853;0.014524457184503846;0.6034921416504535;0.0033388309912463277;5.4672719717025755;0.2038718582278269
SVDD_RBF_0.001_scale_;0.4824364457570254;0.013919172378040637;0.4349248474764281;0.026607510119327344;0.45721059522803625;0.01957997439125201;0.6343965421859259;0.01303285882749952;0.6080475824466169;0.0091635927105454;9.880852270126343;0.23646930729013324
SVDD_RBF_0.01_scale_;0.47414758212595826;0.014922914480725701;0.4695438158624515;0.025287636987886733;0.47171221623310905;0.019343397519129626;0.6336489802992744;0.013056438211485524;0.6006454014843994;0.010839219434675336;13.32692530155182;0.33394047857613623
SVDD_RBF_0.05_scale_;0.4736963494461247;0.015017936123177339;0.4697110371602885;0.024876400749000226;0.4715773187919063;0.0191528777729234;0.6334796358393607;0.013017086555645072;0.600265894843033;0.01095643260065764;13.524091219902038;0.2917981976849651
SVDD_RBF_0.1_scale_;0.4731452122587996;0.015190956916238061;0.46854575707154744;0.02512157115670826;0.4707173023765212;0.019399341810214556;0.6334708056017748;0.013024228841822237;0.5998864282340131;0.011050684213381587;13.562613582611084;0.2965237813858387
SVDD_RBF_0.2_scale_;0.4736595152745692;0.015513997114188258;0.4692110371602884;0.025113967800621594;0.4713129452916327;0.01957036871862238;0.6334769161658007;0.013035168250606669;0.600265854810687;0.01129584904944817;13.622687602043152;0.2901217845455784
SVDD_RBF_0.3_scale_;0.47333847056886896;0.015354792390522976;0.46787964503605106;0.025608802003105297;0.47046936313812643;0.019720047548777934;0.633409786551892;0.013087125576044122;0.6000760614576577;0.011147916797667131;13.665805435180664;0.28372755483767975
SVDD_RBF_0.4_scale_;0.47280081062448487;0.016190592542868452;0.4593910149750416;0.027570938848749234;0.4658570551507074;0.021290571548236298;0.6323058792318925;0.013246266719443737;0.6000761415223501;0.011474103649563435;13.810070395469666;0.30547601264455565
SVDD_RBF_0.5_scale_;0.4713154997108725;0.019730925228662696;0.43475623960066556;0.029369516401239224;0.4521376563701355;0.02413821092116721;0.629255379214914;0.013446163231066151;0.6000758612959272;0.013322413045064664;13.892969870567322;0.28254570888266123
SVDD_RBF_0.6_scale_;0.46828616189398053;0.025212123107358732;0.3868216860787576;0.03154380923108123;0.42351704900824644;0.02865048938508341;0.6253828917507104;0.013892467176054515;0.6003934378978214;0.015186003963624824;14.583099675178527;0.2844965702867415
SVDD_RBF_0.7_scale_;0.4537313089798456;0.030582130956896228;0.31908319467554075;0.03220244255035646;0.3744924322382172;0.03218640257140068;0.6200975068479971;0.014196215671278038;0.5957136166022146;0.015430004720616924;15.43471782207489;0.2585979068945407
SVDD_RBF_0.8_scale_;0.4436276993565357;0.03261692877809571;0.23086439267886857;0.02492500119219993;0.3033033767818246;0.02786151728814537;0.6118225410879827;0.014141654428754777;0.5977356103731815;0.0126297717009693;16.351624250411987;0.27437708561552493
SVDD_RBF_0.9_scale_;0.4266398914660997;0.029858778666265837;0.12933250138657795;0.021664185025680755;0.19774443925927102;0.027287069789429682;0.6011908569334556;0.014332085187122413;0.6031755258248664;0.007193764455119202;17.38054437637329;0.2805896629282411
SVDD_RBF_0.001_auto_;0.03326385833057497;0.023060085078902566;0.0016644481419855796;0.0018227043558577702;0.00313858417030686;0.0033256477363262007;0.5359330587060114;0.060080851662600875;0.6049469971737164;0.0056061932578060384;0.060175323486328126;0.000950883239356167
SVDD_RBF_0.01_auto_;0.17151432664057037;0.11250675084557958;0.017480033277870215;0.01641729690475294;0.031286944867294095;0.02840315093220762;0.5844790451288668;0.03394542826693437;0.6008344742551982;0.007334828860074683;0.19783883094787597;0.003270363395305081
SVDD_RBF_0.05_auto_;0.4766284466973353;0.05594595799632483;0.24683305601774816;0.0409616894793395;0.3225402940678788;0.034157556330739185;0.6092704641923324;0.02912831611778256;0.6084256479235222;0.01961785084593019;0.926707649230957;0.018181004745721076
SVDD_RBF_0.1_auto_;0.46976261879771186;0.0201705332704406;0.47269883527454243;0.02872865164653481;0.47066677780190974;0.018679009800900485;0.6201848311204681;0.01948541277786749;0.5962782328121122;0.015741957490009784;1.8386153697967529;0.03793350124109443
SVDD_RBF_0.2_auto_;0.4789693575193644;0.010192863471112088;0.6339869661674987;0.03818270487987934;0.5452763394326225;0.017805875894655734;0.6509069352949166;0.014230776420737072;0.5988107590933474;0.010268523128795807;3.6517064571380615;0.07792825037481718
