Parameters;precision-mean;precision-std;recall-mean;recall-std;f1-score-mean;f1-score-std;auc_roc-mean;auc_roc-std;accuracy-mean;accuracy-std;time-mean;time-std
SVDD_Linear_scale_;0.3305180563973847;0.0052614736794174225;0.7022290626733223;0.021770357155498625;0.4494537030359931;0.009222809829565378;0.28427668964424374;0.010473780336639222;0.34640653648147707;0.005323461312071445;6.255028700828552;0.2691132873463142
SVDD_Linear_auto_;0.3305180563973847;0.0052614736794174225;0.7022290626733223;0.021770357155498625;0.4494537030359931;0.009222809829565378;0.28427668964424374;0.010473780336639222;0.34640653648147707;0.005323461312071445;6.24568464756012;0.2654961476184376
SVDD_Sigmoid_scale_;0.3276284193775213;0.007341521348818583;0.7033962839711593;0.022813065335908763;0.4470246667066399;0.0114023904933391;0.2803817145743489;0.010832222027530926;0.3388157231042683;0.009430802508734971;6.357041931152343;0.23552072735014842
SVDD_Sigmoid_auto_;0.3305180563973847;0.0052614736794174225;0.7022290626733223;0.021770357155498625;0.4494537030359931;0.009222809829565378;0.28427533164680185;0.010478134799356872;0.34640653648147707;0.005323461312071445;6.308633399009705;0.2651212074601488
SVDD_Poly_2_scale_;0.3286592171736183;0.007701836325009532;0.6847545757071548;0.02686514065019081;0.44411885743468893;0.012658109666783011;0.2863366745616716;0.01042707083534038;0.34887417032962637;0.008158181323334351;6.436363697052002;0.24067473037662565
SVDD_Poly_2_auto_;0.3382978000799422;0.007108146878381708;0.7519841930116472;0.03117877327475087;0.46660533377470675;0.012592943340509444;0.2864489521432533;0.010458004103808186;0.34703984819734346;0.008224581387917096;6.117931914329529;0.26370803351360067
SVDD_Poly_3_scale_;0.3170769133739965;0.009047457472705904;0.6434786466999446;0.027220415820091465;0.4248015376770322;0.014025134426215082;0.2860404926030312;0.010417482357177503;0.33805739037142013;0.010344555475106095;6.758507084846497;0.24310456594571558
SVDD_Poly_3_auto_;0.32544801856886474;0.07236268420315645;0.7445915141430949;0.2578449802240361;0.4482237657631594;0.12728994511967634;0.2861971057308114;0.010436198322433256;0.36310955251843485;0.02806874910303626;5.414035320281982;0.2401020174693209
SVDD_Poly_4_scale_;0.3112149229612883;0.008584224073631037;0.6228397115917914;0.024856154024120863;0.4150277804929535;0.01310841191476354;0.285813827294645;0.010465142621404227;0.3329966613023323;0.009957567792142371;6.939531970024109;0.2643239938088965
SVDD_Poly_4_auto_;0.32507985235956116;0.07216215374974015;0.7397665002773157;0.2582207112940909;0.44674495674035775;0.12766536803361436;0.2858658101010787;0.010439447827459898;0.3645641678476209;0.029372176013221573;5.401150274276733;0.24497859099747038
